_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Agência Brasileira de Inteligência - ABIN,PR,Analista de Sistemas,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 083,2002-03-04,2002.0,Port. 083,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Analista de Software,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 083,2002-03-04,2002.0,Port. 083,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Pesquisador,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 083,2002-03-04,2002.0,Port. 083,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Pesquisador,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 083,2002-03-04,2002.0,Port. 083,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Tecnologista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 083,2002-03-04,2002.0,Port. 083,,,,,,
"Ministério do Desenvolvimento, Indústria e Comércio Exterior – MDIC",MDIC,Analista de Comércio Exterior,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 086,2002-03-12,2002.0,Port. 086,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Analista Ambiental,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 090,2002-03-15,2002.0,Port. 090,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Assistente Social,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Auxiliar de Enfermagem,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Biomédico,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Cirurgião-dentista,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Enfermeiro,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Farmacêutico,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Farmacêutico-Bioquímico,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Fisioterapeuta,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Laboratorista - área,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Médico,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Nutricionista,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Psicólogo,Nível Superior,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Anatomia e Necrópsia,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Enfermagem,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Farmácia,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Laboratório - área,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Nutrição e Dietética,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Radiologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Técnico em Equipamento Médico-Odontológico,Nível Intermediário,,,,1º Provimento,,Social,Port. 154,2002-04-16,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Professor de 3º Grau,Nível Superior,,,,1º Provimento,,Social,Port. 155,2002-04-16,2002.0,Port. 154,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Pesquisador,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 163,2002-04-19,2002.0,Port. 163,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 163,2002-04-19,2002.0,Port. 163,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Tecnologista,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 163,2002-04-19,2002.0,Port. 163,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 167,2002-04-24,2002.0,Port. 166,,,,,,
Banco Central do Brasil – BACEN,MF,Procurador do Banco Central,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 167,2002-04-24,2002.0,Port. 166,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Fiscal Federal Agropecuário,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 212,2002-05-27,2002.0,Port. 195,,,,,,
Universidade Federal de Tocantins - UFT,MEC,Professor-Adjunto,Nível Superior,,,,1º Provimento,,Social,Port. 234,2002-06-10,2002.0,Port. 234,,,,,,
Universidade Federal de Tocantins - UFT,MEC,Professor Assistente,Nível Superior,,,,1º Provimento,,Social,Port. 234,2002-06-10,2002.0,Port. 234,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Professor de 1º e 2º Graus,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Administrador,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Analista de Sistemas,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Bibliotecário-Documentalista,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Contador,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Técnico em Assuntos Educacionais,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Pedagogo - orientação educacional,Nível Superior,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Escola Técnica Federal de Palmas - ETF-Palmas,MEC,Laboratorista - área,Nível Intermediário,,,,1º Provimento,,Social,Port. 284,2002-07-04,2002.0,Port. 284,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Auditor Fiscal da Previdência Social,Nível Superior,,,,1º Provimento,,Social,Port. 285,2002-07-04,2002.0,Port. 285,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 286,2002-07-04,2002.0,Port. 286,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 286,2002-07-04,2002.0,Port. 286,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 286,2002-07-04,2002.0,Port. 286,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 286,2002-07-04,2002.0,Port. 286,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Planejamento e Orçamento,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 287,2002-07-04,2002.0,Port. 287,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Especialista em Políticas Públicas e Gestão Governamental,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 287,2002-07-04,2002.0,Port. 287,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 288,2002-07-04,2002.0,Port. 288,,,,,,
Banco Central do Brasil – BACEN,MF,Procurador do Banco Central,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 288,2002-07-04,2002.0,Port. 288,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Assistente Social,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Auxiliar de Enfermagem,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Biomédico,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Cirurgião-dentista,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Enfermeiro,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Farmacêutico,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Farmacêutico-Bioquímico,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Fisioterapeuta,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Laboratorista - área,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Médico,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Nutricionista,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Psicólogo,Nível Superior,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Anatomia e Necrópsia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Enfermagem,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Farmácia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Laboratório - área,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Nutrição e Dietética,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Radiologia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino - IFES/HU,MEC,Técnico em Equipamento Médico-Odontológico,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 289,2002-07-04,2002.0,Port. 154,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Professor de 3º Grau,Nível Superior,,,,1º Provimento,,Social,Port. 290,2002-07-04,2002.0,Port. 290,,,,,,
Instituições Federais de Ensino - IFE,MEC,Professor de 1º e 2º Graus,Nível Superior,,,,1º Provimento,,Social,Port. 291,2002-07-04,2002.0,Port. 291,,,,,,
Secretaria da Receita Federal do Brasil – RFB,MF,Auditor Fiscal da Receita Federal,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 292,2002-07-04,2002.0,Port. 292,,,,,,
Secretaria da Receita Federal do Brasil – RFB,MF,Técnico da Receita Federal,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 292,2002-07-04,2002.0,Port. 292,,,,,,
Advocacia-Geral de União - AGU,PR,Advogado da União,Nível Superior,,,,1º Provimento,,Articulação Governamental,Ato Próprio,2002-09-09,2002.0,Ato Próprio,,,,,,
Advocacia-Geral de União - AGU,PR,Procurador Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Ato Próprio,2002-10-11,2002.0,Ato Próprio,,,,,,
Ministério das Relações Exteriores - MRE,MRE,Diplomata,Nível Superior,,,,1º Provimento,,Articulação Governamental,Ato Próprio,2002-11-18,2002.0,Ato Próprio,,,,,,
Procuradoria-Geral da Fazenda Nacional - PGFN,PR,Procurador da Fazenda Nacional,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 094,2002-12-04,2002.0,Port. 094,,,,,,
Procuradoria-Geral da Fazenda Nacional - PGFN,PR,Procurador da Fazenda Nacional,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 094,2002-12-04,2002.0,Port. 094,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Fiscal Federal Agropecuária,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 086,2001-04-27,2001.0,Port. 086,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Fiscal Federal Agropecuária,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 195,2001-09-14,2001.0,Port. 195,,,,,,
Comissão Nacional de Energia Nuclear - CNEN,MCTI,Pesquisador,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 305,2001-12-14,2001.0,Port. 305,,,,,,
Comissão Nacional de Energia Nuclear - CNEN,MCTI,Tecnologista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 305,2001-12-14,2001.0,Port. 305,,,,,,
Comissão Nacional de Energia Nuclear - CNEN,MCTI,Técnico,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 305,2001-12-14,2001.0,Port. 305,,,,,,
Comissão Nacional de Energia Nuclear - CNEN,MCTI,Analista de Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 305,2001-12-14,2001.0,Port. 305,,,,,,
Centro Técnico Aeroespacial - CTA,MD,Pesquisador Adjunto,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 078,2001-04-11,2001.0,Port. 078,,,,,,
Centro Técnico Aeroespacial - CTA,MD,Assistente de Pesquisa,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 078,2001-04-11,2001.0,Port. 078,,,,,,
Centro Técnico Aeroespacial - CTA,MD,Tecnologista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 078,2001-04-11,2001.0,Port. 078,,,,,,
Centro Técnico Aeroespacial - CTA,MD,Analista em C&T Júnior,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 078,2001-04-11,2001.0,Port. 078,,,,,,
Centro Técnico Aeroespacial - CTA,MD,Técnico,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 078,2001-04-11,2001.0,Port. 078,,,,,,
Departamento de Pesquisa Desenvolvimento - DEPED,MD,Pesquisador Adjunto,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 098,2001-05-16,2001.0,Port. 098,,,,,,
Departamento de Pesquisa Desenvolvimento - DEPED,MD,Assistente de Pesquisa,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 098,2001-05-16,2001.0,Port. 098,,,,,,
Departamento de Pesquisa Desenvolvimento - DEPED,MD,Tecnologista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 098,2001-05-16,2001.0,Port. 098,,,,,,
Departamento de Pesquisa Desenvolvimento - DEPED,MD,Analista em C&T Júnior,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 098,2001-05-16,2001.0,Port. 098,,,,,,
Departamento de Pesquisa Desenvolvimento - DEPED,MD,Técnico,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 098,2001-05-16,2001.0,Port. 098,,,,,,
Hospital das Forças Armadas - HFA,MD,Especialista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 177,2001-08-30,2001.0,Port. 177,,,,,,
Hospital das Forças Armadas - HFA,MD,Técnico,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 177,2001-08-30,2001.0,Port. 177,,,,,,
Hospital das Forças Armadas - HFA,MD,Especialista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 240,2001-10-29,2001.0,Port. 240,,,,,,
Hospital das Forças Armadas - HFA,MD,Técnico,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 240,2001-10-29,2001.0,Port. 240,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Pesquisador,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 210,2001-10-08,2001.0,Port. 210,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Tecnologista,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 210,2001-10-08,2001.0,Port. 210,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Analista,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 210,2001-10-08,2001.0,Port. 210,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia -INMETRO",MDIC,Técnico,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 210,2001-10-08,2001.0,Port. 210,,,,,,
Instituições Federais de Ensino Superior - IFES,MEC,Professor,Nível Superior,,,,1º Provimento,,Social,Port. 163,2001-08-06,2001.0,Port. 163,,,,,,
Banco Central do Brasil – BACEN,MF,Analista,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 166,2001-08-08,2001.0,Port. 166,,,,,,
Superintendência de Seguros Privados – SUSEP,MF,Analista Técnico,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 236,2001-10-19,2001.0,Port. 236,,,,,,
Departamento de Polícia Federal - DPF,MJ,Escrivão de Polícia Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 212,2001-10-08,2001.0,Port. 212,,,,,,
Departamento de Polícia Federal - DPF,MJ,Agente de Polícia Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 212,2001-10-08,2001.0,Port. 212,,,,,,
Departamento de Polícia Federal - DPF,MJ,Períto Criminal Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 212,2001-10-08,2001.0,Port. 212,,,,,,
Departamento de Polícia Federal - DPF,MJ,Delegado Polícia Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 212,2001-10-08,2001.0,Port. 212,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 242,2001-10-29,2001.0,Port. 242,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,MMA,Pesquisador,,,,,1º Provimento,,Infraestrutura,Port. 300,2001-12-17,2001.0,Port. 300,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,MMA,Tecnologista,,,,,1º Provimento,,Infraestrutura,Port. 300,2001-12-17,2001.0,Port. 300,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,MMA,Analista em C&T,,,,,1º Provimento,,Infraestrutura,Port. 300,2001-12-17,2001.0,Port. 300,,,,,,
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,MMA,Técnico,,,,,1º Provimento,,Infraestrutura,Port. 300,2001-12-17,2001.0,Port. 300,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Especialista em Politicas Publicas e Gestão Governamental,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 309,2001-12-14,2001.0,Port. 309,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Planejamento e Orçamento,,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 309,2001-12-14,2001.0,Port. 309,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Pesquisador,Nível Superior,,,,1º Provimento,,Social,Port. 294,2001-12-07,2001.0,Port. 294,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Tecnologista,Nível Superior,,,,1º Provimento,,Social,Port. 294,2001-12-07,2001.0,Port. 294,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Social,Port. 294,2001-12-07,2001.0,Port. 294,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Técnico,Nível Intermediário,,,,1º Provimento,,Social,Port. 294,2001-12-07,2001.0,Port. 294,,,,,,
Instituto Nacional de Câncer (INCA),Ministério da Saúde - MS,Tecnologista Pleno K-I (Enfermagem Oncológica); Tecnologista Junior L-I (Medicina-Anestesiologia); Técnico O-I (Enfermagem Oncológica); Analista em C&T Junior L-I (Administração Hospitalar) e Assistente em C&T (Apoio Administrativo),NS/NI,,"Portaria nº 81, de 11. Março. 2016",,Adicional,,,,,,,,,,,,
"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)",MCTIC,"Assistente em Ciência e Tecnologia da Carreira de Gestão, Planejamento
e Infraestrutura em Ciência e Tecnologia do Quadro de Pessoal do
Ministério da Ciência, Tecnologia e Inovação",Nível Intermediário,,"Portaria nº 94, de 30 Março. 2016",,Decisão Judicial,,,,,,,,,,,,
Centro Nacional de Monitoramento e Alertas de Desatres Naturais (CEMADEN),"Ministério da Ciência, Tecnologia, Inovações e Comunicações - MCTIC",Tecnologista,Nível Superior,,"EMI nº 216, de 29 de Fevereiro de 2016",,Excepcional,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Fiscal Federal Agropecuário,Nível Superior,,"Portaria nº 119, de 19 de Abril de 2016",,Decisão Judicial,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Fiscal Federal Agropecuário,Nível Superior,,"Portaria nº 165, de 27 de Maio de 2016",,Decisão Judicial,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Fiscal Federal Agropecuário,Nível Superior,,"Portaria nº 171, de 01 de Junho de 2016",,Decisão Judicial,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Fiscal Federal Agropecuário,Nível Superior,,"Portaria nº 212, de 20 de Julho de 2016",,Decisão Judicial,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Fiscal Federal Agropecuário,Nível Superior,,"Portaria nº 251, de 31 de Agosto de 2016",,Decisão Judicial,,,,,,,,,,,,
Agência Espacial Brasileira (AEB),"Ministério da Ciência, Tecnologia, Inovações e Comunicações - MCTIC","Tecnologista, Analista em Ciência e Tecnologia e Assistente em Ciência e Tecnologia",NS/NI,,"Portaria nº 141, de 29 de Abril de 2016",,Provimento Original,,,,,,,,,,,,
Agência Nacional de Vigilância Sanitária (ANVISA),Ministério da Saúde - MS,Técnico Administrativo,Nível Intermediário,,"Portaria nº 114, de 19 de Abril de 2016",,Concurso p/ substituição de terceirizados,,,,,,,,,,,,
Fundação Oswaldo Cruz (Fiocruz),Ministério da Saúde - MS,"Assistente Técnico em Gestão em Saúde; Especialista em Ciência, Tecnologia, Produção e Inovação em Saúde Pública; Pesquisador em Saúde Pública e Técnico em Saúde Pública",NS/NI,,"Portaria nº 140, de 29 de Abril de 2016",,Concurso p/ substituição de terceirizados,,,,,,,,,,,,
Instituto Nacional de Câncer (INCA),Ministério da Saúde - MS,Tecnologista Junior L-I (Na especialidade Física Médica) e Tecnologista Junior L-I (Na especialidade Medicina-Radioterapia da Carreira de Ciência e Tecnologia),Nível Superior,,"EMI nº 37, de 22 de Março de 2016",,Excepcional,,,,,,,,,,,,
Instituto Nacional de Câncer (INCA),Ministério da Saúde - MS,"Pesquisador, Tecnologista, Analista em Ciência e Tecnologia e Técnico",NS/NI,,"Portaria nº 115, de 18 de Abril de 2016",,Concurso p/ substituição de terceirizados,,,,,,,,,,,,
Secretaria Especial da Saúde Indígena (SESAI),Ministério da Saúde - MS,"Administrador, AnalistaTécnico de Políticas Sociais e Contador",Nível Superior,,"Portaria nº 270, de 21 de Setembro de 2016",,"Concurso
(Ação Civil Pública)",,,,,,,,,,,,
Advocacia Geral da União (AGU),Presidência da República - PR,Agente Administrativo,Nível Intermediário,,"Portaria nº 83, de 16 de Março de 2016",,Decisão Judicial,,,,,,,,,,,,
Advocacia Geral da União (AGU),Presidência da República - PR,Analista Técnico-Administrativo e Técnico em Comunicação Social,Nível Superior,,"Portaria nº 137, de 29 de Abril de 2016",,Adicional,,,,,,,,,,,,
Instituto Brasileiro de Geografia e Estatistica (IBGE),"Ministério do Planejamento, Desenvolvimento e Gestão (MP)","Tecnologista em Informações Geográfica e Estatística; Analista de Planejamento, Gestão e Infraestrutura em Informações Geográficas e
Estatísticas, e Técnico
em Informações Geográficas e Estatísticas",NS/NI,,"Portaria nº 241, de 24 de Agosto de 2016",,Provimento Original,,,,,,,,,,,,
